"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"LKA",7,2018,258.59386209615504944,141245.602088695701720
"LKA",8,2018,288.22997501089082866,135524.685177353965309
"LKA",9,2018,44.21573817692059522,12915.033788138442272
"LKA",10,2018,761.06022229712172218,432068.649679511970976
"LKA",11,2018,129.09068610715710547,73905.339391606951583
"LKA",12,2018,830.04095506034421528,492820.236709261002017
"LKA",13,2018,198.30671602840761567,61926.313491135266866
"LKA",14,2018,1486.78476358677384539,599505.123108969197623
"LKA",15,2018,168.41780838370287840,51445.414765687968216
"LKA",16,2018,679.21901705909124538,314925.305548778851852
"LKA",17,2018,314.57693667458649066,176935.244120410126927
"LKA",18,2018,516.88864773749858257,226834.877746515506855
"LKA",19,2018,1013.62317539834732234,285920.227913983251814
"LKA",20,2018,224.71812596109189305,117090.297384169924536
"LKA",21,2018,382.65848435780380957,117766.464607636654038
"LKA",22,2018,474.81648805103534646,147025.414708388667108
"LKA",23,2018,823.89493675797947428,471071.182385597817061
"LKA",24,2018,431.53282642523207624,114685.442536055384474
"LKA",25,2018,892.95591936316307346,220875.640564131030943
"LKA",1,2019,210.67688938954862377,78326.178069974480167
"LKA",2,2019,974.76616670695971858,245980.176017952786672
"LKA",3,2019,228.23380796127658052,120101.277247435735165
"LKA",4,2019,113.03764817951253799,37513.054900322686839
"LKA",5,2019,158.36222681534484639,91631.560617607711676
"LKA",6,2019,450.13751606344048655,264016.276368015644582
"LKA",7,2019,221.73204116390035928,124036.966676670661437
"LKA",8,2019,114.51226737087835976,54557.554864211353023
"LKA",9,2019,26.01439501955404606,7581.70245242903241
"LKA",10,2019,857.91179517519036029,494018.355008686111995
"LKA",11,2019,122.82204517129476462,70448.054979460747617
"LKA",12,2019,831.71025517706128180,494750.844216354397482
"LKA",13,2019,158.69723293016659044,47976.80459693022261
"LKA",14,2019,812.04141431611673980,324922.181576819590174
"LKA",15,2019,140.49768238708836083,39593.897489899486519
"LKA",16,2019,789.27860324514551201,375277.734229815024410
"LKA",17,2019,245.65578123124165539,133530.70841223650671
"LKA",18,2019,354.75418052348822158,148319.955472479571347
"LKA",19,2019,635.81769432831491973,184011.117094264994856
